abate ; * , 2021-09-13
about-face ; 2021-08-31
abstruse ; * , 2021-09-19
adultery ; 2021-09-18
an insurmountable obstacle ; 2021-09-04
andrew ; * , 2021-09-17
andrew gay ; 2021-09-08 , 2021-09-11 , 2021-09-13 , 2021-09-17
apt ; 2021-08-21
auspicious ; 2021-09-05
banana peel ; 2021-09-19
bawling my eyes out ; 2021-09-12
begrudge ; 2021-09-27
bestride something like a colossus ; 2021-09-19
bill as ; 2021-09-01
black ice ; 2021-09-17
bleachers ; 2021-09-08
bleeding edge ; 2021-08-31
blood is gushing out of my nose ; 2021-09-18
blow my cover ; 2021-09-03
blustery ; 2021-09-27
bogged down in ; 2021-09-01
bona fide ; 2021-09-13
bout ; * , 2021-09-27
bridgehead ; 2021-09-19
bristle ; 2021-09-18
brook ; 2021-09-18
brush off ; 2021-09-19
burka ; 2021-09-19
bustling ; 2021-09-19
by any means ; 2021-09-02
carnal ; 2021-09-02
carnal knowledge ; 2021-09-02
carnal needs ; 2021-09-02
clad in ; 2021-09-19
clout ; * , 2021-08-21
coalesce ; * , 2021-09-02
coddle ; 2021-09-19
commend the efforts ; 2021-09-02
compelling ; * , 2021-09-02
compelling evidence ; 2021-09-02 , 2021-09-08
conjoin ; 2021-09-18
convalescence ; 2021-09-19
convex ; 2021-09-19
corrugated ; 2021-09-19
credence ; 2021-08-29
cringe ; * , 2021-09-18
crucible ; * , 2021-09-19
cull ; 2021-09-18
curt ; 2021-09-19
deadbeat dad ; 2021-09-04
delirium ; 2021-09-18
desalination ; 2021-09-19
desirous of ; 2021-09-18
desolate ; * , 2021-09-01
disheveled ; 2021-09-02
ditto ; 2021-09-24
dour ; * , 2021-09-05
dovetail ; 2021-09-19
dross ; 2021-09-19
elucidate ; * , 2021-09-23
embark upon ; 2021-08-21
ennoble ; 2021-09-18
ensuing ; 2021-09-19
epitome ; 2021-09-15
etched with ; 2021-09-12
every single one ; 2021-09-15
every so often ; 2021-09-19
evoke ; 2021-09-19
exasperated ; 2021-09-18
excellent command of ; 2021-09-21
faggot ; 2021-09-18
fail-safe ; 2021-09-19
fall foul of ; 2021-09-01
feeble ; 2021-08-21
finitude ; 2021-09-07
flog ; 2021-08-20
flurry ; 2021-09-18
fondly ; 2021-09-19
for what it's worth ; 2021-09-18
gallows ; 2021-09-19
gentry ; 2021-08-20
giddy with excitement ; 2021-09-18
give sb the jitters ; 2021-09-01
go figure ; 2021-08-21
golly ; 2021-09-19
goo ; 2021-09-19
good ; * , 2021-09-18
good breeding ; 2021-08-30
grave error ; 2021-09-21
gusty wind ; 2021-09-12
haggard ; 2021-09-18
hang tight ; 2021-09-27
hatchet ; * , 2021-09-11
hats off to you ; 2021-09-27
hoary ; 2021-09-18
home ; * , 2021-09-18
imperi ; * , 2021-09-18
imperil ; 2021-09-18
impermissible ; 2021-09-19
impromptu ; * , 2021-08-21
impudence ; 2021-09-19
in abeyance ; 2021-09-19
in layman's terms ; 2021-08-22
incorrigible ; * , 2021-09-19
incredulous ; * , 2021-09-19
indelible ; * , 2021-09-19
indigent persons ; 2021-09-19
ineradicable ; 2021-09-19
inlaid with ; 2021-09-27
innermost ; 2021-09-03
inordinate ; 2021-09-19
insurmountable ; * , 2021-09-04
invaluable ; 2021-09-19
is slated to ; 2021-09-18
is worth its weight in gold ; 2021-09-04
isn't your forte ; 2021-09-15
jackal ; 2021-08-24 , 2021-09-11
jubilation ; 2021-09-19
keep a low profile ; 2021-09-15
knackered ; * , 2021-09-17
languid ; 2021-09-19
lash out at ; 2021-09-05
leering at me ; 2021-09-19
liquefy ; * , 2021-09-18
load capacity ; 2021-09-18
loathsome ; 2021-09-19
lodestone ; 2021-09-18
lorry ; 2021-09-06
luncheon ; 2021-09-19
luster ; 2021-09-19
made a face ; 2021-09-18
majestic ; 2021-09-18
mauve ; 2021-09-19
mewling ; 2021-09-19
middling ; 2021-09-05
mileage ; 2021-09-19
mind-boggling ; 2021-09-19
mindful of ; 2021-09-02
mire ; 2021-09-18
molt ; * , 2021-09-19
mondegreen ; 2021-08-23
mongrel ; 2021-09-19
moral turpitude ; 2021-09-19
mount the stairs ; 2021-09-19
munch ; 2021-09-19
nestled within ; 2021-09-19
north of ; 2021-09-18
nubile ; 2021-09-19
offhandedly ; 2021-09-19
ogle ; 2021-09-19
on the spot ; 2021-09-21
oust ; * , 2021-09-01
paean to ; 2021-09-19
pallid ; 2021-09-05
paltry ; 2021-09-18
panache ; * , 2021-09-27
